Student,Report
S1,"So based on the data, the first point what can be inferred is that daily there is some or the other price being recorded. For example on Jun 29 2021, the price was 2081.85/- . Like that from July 2020 to June 2021, the prices are been recorded. By this we can say that the prices are varying day by day and on some days, the price and profit are more whereas on some days the price is less and we get to see that the charge  is in negative values. The future prediction can be done by using the technique of regression and some mathematical formulas based on calculus, statistics, probability etc. Since the values of the price are not discrete, I took the Regression technique which falls under the supervised learning. "
S2,I would suggest to make an application in which the user enters the current price and the date in the future in which he wants to predict the prize. And then we use the change percentage form these data and try to provide almost accurate results
S3,"so what i observed is features in irctc data are highly correlated.
the price and open are positively correlated with 0.98 and open vs high etc
are also highly correlated , predicted results are also almost close to original values
with root mean squared error or 16 (Pretty good actually),and coming to the Chg  feature
i feel like doing normal regression on this small dataset is okay but when we have a 
larger dataset from timestamp 1980s to 2020s in this case doing simple models doesn't make sense
for predicting profit or loss , so when we have a larger timegap , it would be better to use 
 Time Series  model like  Lstm , Gated recurrent unit  etc to predic profit or loss from past range
of time series data and most of the data are in  1st  quartile if we compare histograms for prices,low,high etc
and a few outliers are their"
S4,"This can be solved with a Regression Machine Learning model by proper data
analysis and error metrics."
S5,"From the stock data provided to build a system that may be able to predict the price and Change   into future, we can  predict using the input output model .This model shows what flows of inputs must occur to obtain certain outputs .Also we can predict the future using life-cycle analysis. It is an analysis and forecasting of new product growth rate based on S-curves ."
S6,"IRCTC Stock Price 
So what i found is functions in irctc facts are extraordinarily correlated.
the charge and open are undoubtedly correlated with 0.ninety eight and open vs excessive and so on
also are extraordinarily correlated , anticipated outcomes also are nearly near authentic values
with root imply squared blunders or 16 (Pretty proper actually),and coming to the Chg 
i sense like doing everyday regression in this small dataset is ok however while we've a 
large dataset from timestamp Nineteen Eighties to 2020s in this situation doing easy fashions would not make sense
for predicting income or loss , so while we've a bigger timegap , it'd be higher to use 
 Time Series  version like  Lstm , Gated recurrent unit  and so on to predic income or loss from beyond range
of time collection facts and maximum of the facts are in  1st  quartile if we examine histograms for prices,low,excessive and so on and some outliers are their"
S7,"The loss probability is showing close to 50 , thus if developing a model for these kind of data, the model should have appropriate error reducing methods and outlier removing. 
If considering only this amount of data for analysis , simple ML models would be sufficient."
S8,"1.In the first problem we were able to find out the dimensionality of the matrix,rank of the matrix and then psuedo inverse matrix and the unknown vector.Used numpy and Pandas for this problem.
2. In the second problem we were able to find out the mean of selected conditions in the data set.And also was able to find the loss and profits of the given dataset.used pandas and statistics for this problem."
S9,"okay so basically using numpy,we could solve this stocks problems.
so in the first we found out the mean and varriance. Tho the data was huge in size,
using numpy,we could use 2 to 3 lins,to get the mean and varriance.we calculated the sample 
mean for different months like april etc.
The mean which we initially found out was 1560.6634 and the variance was 58732.365
and specifically for wednesday, the mean was 1550.7060.
next we found out the mean for the month of april which was 1698.9526.
And we found out the total loss to be 124."
S10,Machine learning enables us to build a system that can predict the price and Change percentage. Trend projections are useful for predicting the price change in future. Regression helps us to relate sales to an equation
