S.NO,      STATE/UT,  YEAR,TOTAL CASES REPORTED,RAPE (IPC SECTION-376),,,"KIDNAPPING & ABDUCTION (Section 363,364,364A, 366 IPC) ",,DOWRY DEATHS,,Assault On Women With Intent To Outrage Her Modesty (Section 354 IPC),,Immoral trafficking,,Abetment of suicide of women,,Cruelty By Husband Or His Relatives,"Dowry Prohibition Act, 1961",sexual  harassment,"Assault or Use of Criminal Force to Women
With Intent to Disrobe"
,,,,I,R,PERCENTAGE SHARE OF KNOWN CASES TO TOTAL RAPE CASES,I,R,I,R,I,R,I ,R,I,R,I,I,I,I
1,Andhra Pradesh,2015,15931,1027,4.0,99.7,684,2.7,174,0.7,4616,18.1,204,0.8,384,1.5,6121,303,1070,491
2,Arunachal Pradesh,2015,384,71,11.5,83.1,128,20.7,0,0.0,101,16.3,2,0.3,2,0.3,66,0,15,1
3,Assam,2015,23258,1733,11.0,90.9,5039,32.1,216,1.4,4293,27.4,47,0.3,0,0,11225,95,499,808
4,Bihar,2015,13891,1041,2.1,91.6,5158,10.3,1154,2.3,198,0.4,21,0,0,0,3792,1867,78,42
5,Chhattisgarh,2015,5720,1560,12.2,96.8,1354,10.6,89,0.7,1868,14.6,4,0,141,1.1,620,10,507,67
6,Goa,2015,365,86,9.4,96.5,70,7.7,0,0.0,150,16.4,3,0.3,3,0.3,19,0,58,4
7,Gujarat,2015,7762,503,1.7,99.4,1569,5.3,12,0.0,1164,3.9,35,0.1,232,0.8,4133,36,536,63
8,Haryana,2015,9446,1070,8.6,96.4,2336,18.7,243,1.9,1886,15.1,44,0.4,122,1,3525,14,688,249
9,Himachal Pradesh,2015,1289,244,7.1,100.0,239,6.9,2,0.1,434,12.6,6,0.2,64,1.9,226,0,99,15
10,Jammu & Kashmir,2015,3363,296,5.0,97.0,1071,18.2,6,0.1,1343,22.8,0,0,50,0.8,400,1,244,140
11,Jharkhand,2015,6518,1053,6.5,95.3,930,5.7,267,1.6,844,5.2,3,0,3,0,1654,1552,531,179
12,Karnataka,2015,12705,589,1.9,97.1,1611,5.3,254,0.8,5112,16.7,420,1.4,273,0.9,2732,1541,535,510
13,Kerala,2015,9708,1256,6.9,99.6,192,1.1,8,0.0,3987,21.9,135,0.7,25,0.1,3668,4,1145,129
14,Madhya Pradesh,2015,24135,4391,11.9,94.8,4547,12.3,664,1.8,8049,21.8,25,0.1,577,1.6,5281,62,2559,80
15,Maharashtra,2015,31126,4144,7.3,99.3,5096,9,268,0.5,11713,20.6,381,0.7,702,1.2,7640,42,4751,434
16,Manipur,2015,266,46,3.6,95.7,94,7.4,0,0.0,84,6.6,0,0,0,0,39,0,2,7
17,Meghalaya,2015,334,93,6.8,100.0,58,4.3,1,0.1,95,7.0,0,0,0,0,44,0,22,2
18,Mizoram,2015,158,58,11.3,93.1,8,1.6,0,0.0,75,14.6,0,0,0,0,9,0,53,9
19,Nagaland,2015,90,35,3.1,97.1,30,2.7,0,0.0,8,0.7,3,0.3,0,0,4,0,6,0
20,Odisha,2015,17144,2251,10.8,85.5,2587,12.4,356,1.7,6499,31.1,35,0.2,1,0,3605,1201,886,1957
21,Punjab,2015,5291,886,6.7,99.4,1253,9.4,85,0.6,1123,8.4,69,0.5,126,0.9,1583,8,400,70
22,Rajasthan,2015,28165,3644,10.5,99.4,4167,12.1,463,1.3,4813,13.9,86,0.2,161,0.5,14383,9,649,228
23,Sikkim,2015,53,5,1.7,100.0,21,7,1,0.3,21,7.0,0,0,0,0,2,0,5,0
24,Tamil Nadu,2015,5847,421,1.2,96.4,1335,3.9,65,0.2,1163,3.4,491,1.4,79,0.2,1900,333,197,38
25,Telangana,2015,15135,1105,6.1,97.9,648,3.6,262,1.4,3608,19.8,252,1.4,590,3.2,7329,2,620,200
26,Tripura,2015,1267,213,11.5,99.5,120,6.5,28,1.5,352,19.0,2,0.1,7,0.4,501,0,28,169
27,Uttar Pradesh,2015,35527,3025,3.0,98.0,10135,9.9,2335,2.3,7885,7.7,33,0,251,0.2,8660,2766,5925,1093
28,Uttarakhand,2015,1453,283,5.5,98.2,336,6.5,54,1.0,318,6.2,18,0.3,1,0,407,12,51,17
29,West Bengal,2015,33218,1199,2.6,73.6,3938,8.7,498,1.1,5069,11.2,101,0.2,233,0.5,20163,4,674,1054
30,A & N Islands,2015,136,36,13.5,100.0,21,7.9,0,0.0,57,21.4,0,0,1,0.4,14,0,23,2
31,Chandigarh,2015,463,72,10.1,100.0,165,23.1,5,0.7,76,10.6,0,0,3,0.4,126,0,22,2
32,D&N Haveli,2015,25,8,4.1,100.0,9,4.6,1,0.5,5,2.6,0,0,0,0,2,0,0,0
33,Daman & Diu,2015,28,5,4.7,100.0,13,12.3,0,0.0,7,6.6,0,0,0,0,3,0,3,0
34,Delhi UT,2015,17104,2199,23.7,96.6,4301,46.3,122,1.3,5367,57.8,3,0,29,0.3,3521,20,1150,547
35,Lakshadweep,2015,9,0,0.0,-,0,0,0,0.0,6,14.6,0,0,0,0,2,0,0,0
37,Puducherry,2015,80,3,0.4,100.0,14,1.9,1,0.1,33,4.5,1,0.1,0,0,4,12,10,6
38,Andhra Pradesh,2016,16362,994,3.9,100.0,626,2.4,193,0.7,4829,18.7,186,0.7,405,1.6,6461,592,1305,446
39,Arunachal Pradesh,2016,367,92,14.7,90.2,85,13.5,1,0.2,109,17.4,0,0,4,0.6,50,0,4,3
40,Assam,2016,20869,1779,11.2,100.0,5339,33.6,157,1.0,3378,21.3,65,0.4,0,0,9321,234,677,937
41,Bihar,2016,13400,1008,2.0,97.3,5496,10.9,987,2.0,324,0.6,50,0.1,0,0,3794,1058,124,44
42,Chhattisgarh,2016,5947,1626,12.6,97.4,1447,11.2,84,0.6,1770,13.7,17,0.1,189,1.5,622,19,244,329
43,Goa,2016,371,61,6.7,96.7,69,7.5,2,0.2,143,15.6,3,0.3,1,0.1,23,0,41,5
44,Gujarat,2016,8532,982,3.3,99.4,2146,7.2,12,0.0,1224,4.1,76,0.3,270,0.9,3732,0,473,86
45,Haryana,2016,9839,1187,9.4,98.7,2697,21.3,260,2.1,1860,14.7,59,0.5,123,1,3313,8,699,273
46,Himachal Pradesh,2016,1222,252,7.3,99.6,201,5.8,3,0.1,410,11.8,7,0.2,66,1.9,214,1,114,10
47,Jammu & Kashmir,2016,2850,256,4.3,98.4,774,13,6,0.1,1235,20.7,1,0,65,1.1,342,0,253,91
48,Jharkhand,2016,5453,1109,6.8,96.7,693,4.2,278,1.7,667,4.1,0,0,3,0,1002,1371,373,129
49,Karnataka,2016,14131,1655,5.4,99.2,1923,6.2,234,0.8,5260,17.0,323,1,218,0.7,2556,1698,703,675
50,Kerala,2016,10034,1656,9.1,98.2,166,0.9,25,0.1,4029,22.1,113,0.6,22,0.1,3455,3,1273,301
51,Madhya Pradesh,2016,26604,4882,13.1,98.1,4904,13.1,629,1.7,8717,23.3,20,0.1,565,1.5,6264,26,3128,190
52,Maharashtra,2016,31388,4189,7.3,98.5,6170,10.7,248,0.4,11396,19.8,303,0.5,756,1.3,7215,38,4057,400
53,Manipur,2016,253,55,4.3,100.0,95,7.4,0,0.0,65,5.0,0,0,0,0,29,0,15,9
54,Meghalaya,2016,372,190,13.8,94.7,51,3.7,0,0.0,68,4.9,2,0.1,0,0,26,0,20,3
55,Mizoram,2016,120,23,4.4,100.0,3,0.6,0,0.0,71,13.7,3,0.6,0,0,19,0,44,12
56,Nagaland,2016,105,26,2.3,84.6,50,4.4,1,0.1,14,1.2,0,0,0,0,3,0,6,5
57,Odisha,2016,17837,1983,9.4,28.4,2291,10.9,397,1.9,8252,39.1,38,0.2,5,0,2781,1400,979,2107
58,Punjab,2016,5105,838,6.2,99.6,1208,9,80,0.6,1025,7.6,64,0.5,170,1.3,1568,5,325,97
59,Rajasthan,2016,27422,3656,10.4,99.2,4010,11.5,462,1.3,4839,13.8,56,0.2,167,0.5,13811,3,483,230
60,Sikkim,2016,153,92,30.3,65.2,12,4,0,0.0,34,11.2,0,0,0,0,2,0,8,3
61,Tamil Nadu,2016,4463,319,0.9,99.4,1043,3,58,0.2,854,2.5,432,1.2,122,0.4,1256,295,115,46
62,Telangana,2016,15374,1278,6.9,98.1,987,5.4,254,1.4,3767,20.5,240,1.3,560,3.1,7202,4,859,230
63,Tripura,2016,1013,207,11.0,100.0,119,6.3,19,1.0,214,11.4,0,0,5,0.3,430,0,52,139
